                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0973,                 1.9243,                  1.596,                0.43314,                0.61493,                0.42755,                0.15647,                 2.0268,                 3.8392,                 3.7792,             0.00048343,             0.00048343,             0.00048343
                      1,                 1.0897,                 1.4584,                 1.5725,                0.27725,                0.34717,                0.27127,                0.12858,                 1.9342,                 4.1549,                 3.4822,             0.00094458,             0.00094458,             0.00094458
                      2,                   1.16,                 1.4423,                 1.6121,                0.28225,                0.44709,                0.25735,                0.08146,                 2.4617,                 8.5547,                 3.5347,              0.0013661,              0.0013661,              0.0013661
                      3,                 1.2139,                 1.4998,                 1.6748,                0.07142,                0.33549,                 0.0594,                0.01121,                 3.3025,                 48.831,                 8.8195,               0.001469,               0.001469,               0.001469
                      4,                 1.2447,                 1.4755,                 1.6892,                0.03289,                0.16394,                0.01123,                0.00296,                 3.4388,                 11.201,                  4.787,               0.001469,               0.001469,               0.001469
                      5,                 1.2373,                 1.4621,                 1.6756,                0.32888,                0.33805,                0.21535,                 0.0656,                 2.5805,                    3.3,                 3.6966,              0.0014029,              0.0014029,              0.0014029
                      6,                 1.1819,                  1.271,                 1.6323,                0.74659,                0.32582,                0.27027,                0.11698,                 2.0134,                 3.6424,                 3.4093,              0.0013369,              0.0013369,              0.0013369
                      7,                 1.1521,                 1.2971,                 1.6311,                0.75257,                0.39456,                0.35792,                0.15307,                 1.9837,                   2.57,                 2.8549,              0.0012709,              0.0012709,              0.0012709
                      8,                 1.1342,                  1.266,                  1.612,                0.59007,                0.71875,                 0.6375,                0.32638,                  1.651,                 1.5428,                 2.6244,              0.0012049,              0.0012049,              0.0012049
                      9,                 1.0364,                 1.1109,                 1.5215,                0.35301,                0.41632,                0.30061,                0.13263,                 2.0686,                 2.2059,                 2.7662,              0.0011389,              0.0011389,              0.0011389
                     10,                 1.0944,                 1.1654,                 1.5693,                0.35708,                0.61664,                0.46525,                0.20207,                 1.9644,                 1.8191,                 3.1734,              0.0010729,              0.0010729,              0.0010729
                     11,                0.99631,                 1.0911,                 1.5121,                0.55903,                 0.6913,                 0.6262,                0.32744,                 1.5902,                 1.4692,                 2.4762,              0.0010069,              0.0010069,              0.0010069
                     12,                 0.9655,                 1.0064,                 1.4511,                0.62826,                0.71429,                0.66648,                0.36022,                  1.539,                 1.4938,                 2.4535,             0.00094085,             0.00094085,             0.00094085
                     13,                0.93791,                0.99237,                 1.4391,                0.62418,                0.58938,                0.59371,                0.30409,                   1.67,                 1.6593,                 2.7181,             0.00087484,             0.00087484,             0.00087484
                     14,                0.91912,                0.95112,                 1.4122,                0.67179,                 0.7134,                0.65723,                0.34494,                 1.6385,                 1.3249,                 2.6313,             0.00080883,             0.00080883,             0.00080883
                     15,                0.84083,                0.87459,                  1.536,                 0.6454,                0.65146,                0.64458,                0.34183,                 1.6748,                 1.5327,                 2.6971,             0.00074282,             0.00074282,             0.00074282
                     16,                0.85533,                0.79362,                 1.5447,                0.69286,                 0.6313,                 0.6302,                0.29672,                 1.7766,                 1.5495,                 2.9313,              0.0006768,              0.0006768,              0.0006768
                     17,                0.76899,                0.73259,                 1.4346,                0.75091,                0.65625,                0.68646,                0.42836,                 1.3005,                 1.2751,                 2.0846,             0.00061079,             0.00061079,             0.00061079
                     18,                0.75497,                0.68017,                 1.4201,                0.68102,                0.71531,                0.70425,                0.41041,                 1.5425,                 1.3363,                 2.4819,             0.00054478,             0.00054478,             0.00054478
                     19,                0.69317,                0.61114,                  1.361,                0.73114,                0.65976,                0.65651,                 0.3912,                 1.5048,                 1.5858,                 2.4504,             0.00047876,             0.00047876,             0.00047876
                     20,                0.69813,                0.56229,                 1.3646,                 0.7766,                0.67859,                0.72104,                0.39811,                 1.6096,                 1.3897,                 2.6465,             0.00041275,             0.00041275,             0.00041275
                     21,                0.63159,                 0.5267,                 1.2934,                0.83431,                0.69386,                0.75523,                0.49236,                 1.3146,                 1.1952,                  2.144,             0.00034674,             0.00034674,             0.00034674
                     22,                0.58986,                0.49219,                 1.2685,                0.79625,                0.72352,                0.74515,                0.44562,                 1.4764,                  1.282,                 2.4441,             0.00028072,             0.00028072,             0.00028072
                     23,                0.58977,                0.47142,                  1.284,                0.71762,                0.75899,                0.75948,                0.50691,                 1.2754,                 1.1461,                 2.0677,             0.00021471,             0.00021471,             0.00021471
                     24,                0.56452,                0.45364,                 1.2415,                0.77474,                0.74831,                0.76711,                0.51074,                 1.2566,                 1.1404,                 2.0813,              0.0001487,              0.0001487,              0.0001487
